   0.0000000      -905.67365      -29.075516    
  5.00000007E-02  -904.18079      -29.073975    
  0.10000000      -899.72375      -29.069344    
  0.15000001      -892.33264      -29.061567    
  0.20000000      -882.06482      -29.050554    
  0.25000000      -868.99902      -29.036175    
  0.30000001      -853.24146      -29.018269    
  0.34999999      -834.91467      -28.996620    
  0.40000001      -814.15979      -28.970972    
  0.45000002      -791.13452      -28.941000    
  0.50000000      -766.01477      -28.906324    
  0.55000001      -738.99084      -28.866489    
  0.60000002      -710.26300      -28.820953    
  0.65000004      -680.04321      -28.769079    
  0.69999999      -648.55035      -28.710098    
  0.75000000      -616.01031      -28.643120    
  0.80000001      -582.65045      -28.567066    
  0.85000002      -548.70032      -28.480669    
  0.90000004      -514.38818      -28.382397    
  0.94999999      -479.93881      -28.270430    
   1.0000000      -445.57190      -28.142572    
   1.0500001      -411.49921      -27.996159    
   1.1000000      -377.92346      -27.827955    
   1.1500000      -345.03601      -27.634007    
   1.2000000      -313.01559      -27.409443    
   1.2500000      -282.02698      -27.148233    
   1.3000001      -252.21947      -26.842865    
   1.3500000      -223.72620      -26.483894    
   1.4000000      -196.66298      -26.059385    
   1.4500000      -171.12798      -25.554123    
   1.5000000      -147.20123      -24.948563    
   1.5500001      -124.94457      -24.217415    
   1.6000000      -104.40169      -23.327730    
   1.6500000      -85.598282      -22.236292    
   1.7000000      -68.542572      -20.886192    
   1.7500000      -53.226147      -19.202406    
   1.8000001      -39.624489      -17.086433    
   1.8500000      -27.698288      -14.410808    
   1.9000000      -17.394291      -11.015742    
   1.9500000      -8.6466513      -6.7140789    
   2.0000000      -1.3784485      -1.3179705    
   2.0500000       4.4971142       5.2888846    
   2.1000001       9.0750990       13.003463    
   2.1500001       12.457211       21.283052    
   2.2000000       14.750401       28.980700    
   2.2500000       16.065216       34.533684    
   2.3000000       16.514269       36.677536    
   2.3500001       16.210785       35.213402    
   2.4000001       15.267157       31.045265    
   2.4500000       13.793598       25.504770    
   2.5000000       11.896912       19.698076    
   2.5500000       9.6793156       14.280809    
   2.6000001       7.2374353       9.5345755    
   2.6500001       4.6614194       5.5176101    
   2.7000000       2.0341525       2.1818998    
   2.7500000     -0.56936574     -0.55877489    
   2.8000000      -3.0824504      -2.7955899    
   2.8500001      -5.4471755      -4.6110482    
   2.9000001      -7.6144071      -6.0746317    
   2.9500000      -9.5440006      -7.2428651    
   3.0000000      -11.204642      -8.1607485    
   3.0500000      -12.573673      -8.8636532    
   3.1000001      -13.636761      -9.3790817    
